POSTCODE,POST4,BUURTCODE,BUURTNAAM,WIJKCODE,WIJKNAAM,STADSDEELCODE,STADSDEELNAAM
5611AA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AD,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611AE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AG,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611AG,5611,,,,,,
5611AH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AK,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AL,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AM,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AN,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AP,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AR,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AS,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AT,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AV,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AW,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AX,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AZ,5611,,,,,,
5611AZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611AZ,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BA,5611,114,Fellenoord,11,Wijk Centrum,1,Stadsdeel Centrum
5611BB,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611BC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611BD,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BE,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BG,5611,612,Philipsdorp,61,Wijk Oud-Strijp,6,Stadsdeel Strijp
5611BH,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BJ,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BK,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BL,5611,113,Witte Dame,11,Wijk Centrum,1,Stadsdeel Centrum
5611BX,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611BZ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CA,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CB,5611,211,Irisbuurt,21,Wijk Oud-Stratum,2,Stadsdeel Stratum
5611CC,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CE,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CG,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CH,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CJ,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CK,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CL,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CM,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CN,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CP,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CR,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
5611CS,5611,111,Binnenstad,11,Wijk Centrum,1,Stadsdeel Centrum
